# c Weighted CNF
# c from Selman's wff generator
# p wcnf 100  400
{cb, -ed} [1.0]
{fi, -ij} [8.0]
{di, -fc} [5.0]
{-cg, bg} [4.0]
{-je, dc} [6.0]
{-dd, -fh} [1.0]
{-dd, ib} [6.0]
{hd, -bf} [4.0]
{-fh, hd} [3.0]
{-gb, -db} [2.0]
{-ic, cf} [5.0]
{eb, ha} [10.0]
{b, f} [2.0]
{gc, -bf} [7.0]
{jg, -ba} [2.0]
{-cf, -gi} [1.0]
{-eb, ei} [1.0]
{-hi, -jb} [7.0]
{-bf, -jb} [10.0]
{-gb, -jg} [7.0]
{-baa, -dj} [1.0]
{-fe, cd} [4.0]
{dd, -hj} [1.0]
{eh, -hi} [9.0]
{-cg, df} [8.0]
{-cf, ih} [3.0]
{-hi, da} [2.0]
{-cf, ie} [2.0]
{-cd, -jd} [10.0]
{bg, ec} [5.0]
{ca, -ec} [9.0]
{-bj, ed} [10.0]
{hi, eb} [3.0]
{ci, ba} [3.0]
{dj, -dg} [4.0]
{-ca, ec} [8.0]
{df, -hf} [4.0]
{-bg, ec} [10.0]
{id, d} [2.0]
{eg, ff} [6.0]
{jf, jd} [1.0]
{c, gg} [6.0]
{b, ha} [6.0]
{-bb, jd} [3.0]
{-gh, -hj} [2.0]
{ca, je} [8.0]
{jh, bj} [3.0]
{-he, -ej} [3.0]
{-eb, ja} [4.0]
{-ff, -bg} [2.0]
{-if, -ii} [9.0]
{ia, dh} [4.0]
{bf, di} [5.0]
{dc, eh} [9.0]
{-gg, dj} [3.0]
{ii, df} [3.0]
{-cf, -jf} [2.0]
{bb, -fe} [5.0]
{-eb, j} [4.0]
{-ef, -dd} [1.0]
{-hb, jg} [10.0]
{ec, cj} [2.0]
{gh, -jj} [10.0]
{-de, -fb} [2.0]
{eg, -fd} [5.0]
{-h, ha} [4.0]
{-hj, ec} [10.0]
{-hf, de} [8.0]
{da, -he} [3.0]
{-c, -hf} [1.0]
{he, ce} [4.0]
{-he, g} [3.0]
{-fj, -b} [6.0]
{hb, cf} [9.0]
{-gh, hj} [5.0]
{-bd, fc} [8.0]
